ID,TARGET
2,0.05418772
5,0.055024378
6,0.0021332977
7,0.0127052665
9,0.0023796572
11,0.24966241
12,0.075288884
15,0.17327604
16,0.029418182
17,0.022729812
19,0.024631554
21,0.004373468
22,0.023809718
24,0.010484381
27,0.015511109
28,0.015712276
30,0.11860874
33,0.003296495
35,0.0130260065
37,0.019848708
38,0.02095978
40,0.17964624
41,0.024664396
44,0.012355695
46,0.09122129
47,0.009562763
48,0.0041752276
50,0.0037557436
52,0.16590317
53,0.008884223
55,0.03007595
57,0.0018149319
58,0.01280534
59,0.01600561
62,0.03354862
63,0.010614871
64,0.02819625
65,0.0138369845
67,0.016452735
69,0.055302266
70,0.003436077
71,0.019348655
72,0.0054897326
73,0.0010129893
76,0.006619019
78,0.0029418755
79,0.03771654
81,0.0014222079
85,0.010313784
86,0.0036910814
89,0.038181443
94,0.11248701
96,0.004058141
97,0.020136284
98,0.0028254648
99,0.019538317
100,0.23777679
103,0.08446253
104,0.006845878
108,0.008477917
110,0.00244635
112,0.025707345
114,0.024427135
116,0.01164814
117,0.009345652
119,0.0076912316
120,0.0052874526
121,0.0013204003
123,0.026411716
124,0.033375237
126,0.0017419667
128,0.012887238
129,0.071973264
133,0.03733267
138,0.02716559
147,0.026056347
149,0.026959315
158,0.003759671
160,0.007633456
164,0.033281628
167,0.060257185
168,0.015908265
174,0.010405215
181,0.01962057
185,0.036526628
187,0.004738687
189,0.013732364
190,0.053621266
194,0.008309765
197,0.07234082
198,0.02619894
201,0.03821783
205,0.008574198
208,0.120062016
211,0.011549158
216,0.045384012
219,0.078354865
223,0.005445271
224,0.106893
226,0.018494414
229,0.012773462
230,0.021399207
237,0.020887692
238,0.02164608
240,0.09745927
243,0.002847596
245,0.15247472
246,0.21355152
247,0.004398749
248,0.010439085
249,0.0033093982
250,0.2623093
251,0.0017876389
255,0.08712542
256,0.028882923
257,0.07468083
260,0.16637634
261,0.004051676
263,0.20306541
264,0.14819607
267,0.0093055675
268,0.017226415
272,0.0068764463
274,0.009178829
275,0.0059516756
277,0.25985572
278,0.29211736
280,0.008935307
281,0.021299643
282,0.09358123
283,0.010422907
284,0.0922366
286,0.015575237
290,0.018334208
291,0.034073688
293,0.036584448
295,0.09088265
297,0.0013727471
298,0.07335057
300,0.003889744
304,0.0054455856
305,0.0046896953
308,0.002920181
309,0.0066676238
310,0.004153959
312,0.032469008
313,0.1442293
315,0.010615012
317,0.021314768
318,0.025142744
321,0.014728856
323,0.07679054
325,0.009011669
326,0.01600561
327,0.015729379
328,0.0606603
329,0.016277751
330,0.0021969907
331,0.00949019
334,0.06986
335,0.009827058
336,0.059257854
337,0.004379591
338,0.033868115
339,0.018330446
341,0.2177433
343,0.009663721
346,0.0027431548
348,0.00375294
350,0.23112428
351,0.0013812062
352,0.016263196
357,0.05065578
358,0.010177288
360,0.006376908
361,0.015963705
364,0.018333877
365,0.031248301
366,0.018945124
367,0.0070535885
368,0.008017384
370,0.00356491
372,0.004157606
376,0.0013178217
377,0.004186631
379,0.013104764
380,0.011123922
381,0.085754596
385,0.009378439
386,0.03892991
389,0.053424463
391,0.05010721
392,0.0034926645
393,0.008941048
395,0.016784647
396,0.0057710875
397,0.0013129065
398,0.022665903
399,0.039712247
400,0.0079856785
401,0.012420199
403,0.007039136
405,0.026528968
406,0.020555863
409,0.00880705
411,0.012299953
413,0.0026180993
418,0.0034812232
419,0.020439463
422,0.016263196
424,0.2579918
425,0.024631944
427,0.004058141
430,0.0014449401
431,0.018330446
434,0.02306053
435,0.032966103
437,0.07256445
438,0.0008630361
439,0.11823425
442,0.010614871
446,0.014690203
450,0.050934494
451,0.010371709
452,0.007999705
454,0.0014872503
455,0.0038703578
463,0.016048443
464,0.011776173
465,0.0046781064
467,0.13973102
468,0.041357476
470,0.011050034
472,0.18185797
473,0.022496782
475,0.0053313356
476,0.0054213763
479,0.020035224
481,0.0042941105
483,0.037645526
484,0.009684022
486,0.035690807
487,0.0029316968
491,0.023322225
494,0.009431236
495,0.0019284923
497,0.014749388
498,0.0041025314
499,0.0103919525
503,0.025481092
504,0.0252242
505,0.010609143
506,0.010347101
507,0.019132473
508,0.09976299
509,0.03476916
510,0.0045821997
511,0.01269833
512,0.023582105
516,0.0032545805
518,0.039823905
519,0.0076666838
520,0.007057403
521,0.003967458
522,0.0034647766
524,0.10326644
525,0.006652809
526,0.0032881123
528,0.018494414
529,0.022519689
531,0.06925362
532,0.23570253
534,0.10556444
536,0.034908902
539,0.076842315
540,0.020522095
541,0.002922209
542,0.09117912
545,0.011115763
546,0.0039219013
552,0.017323766
556,0.0013563088
557,0.0037140397
559,0.0123301465
562,0.011897576
563,0.013245127
565,0.042164452
569,0.0017747789
570,0.07236374
574,0.024237713
575,0.010944789
585,0.010405667
589,0.0056142914
590,0.019738624
592,0.023662819
593,0.041345946
594,0.0058961194
595,0.016577592
597,0.0027796505
601,0.0027968292
603,0.012774597
604,0.0012367913
605,0.02912646
607,0.0036910814
608,0.017973093
610,0.02619894
612,0.05404476
613,0.056624755
615,0.0025783756
616,0.26288098
617,0.030170335
619,0.011527089
620,0.15027907
621,0.005029719
624,0.024255607
625,0.006629198
628,0.0033624216
629,0.2160882
630,0.034273516
632,0.039359175
634,0.0015631828
637,0.015600964
638,0.019399831
642,0.01986912
643,0.008174701
644,0.073350556
646,0.001558654
655,0.012194121
660,0.022773728
664,0.01800492
665,0.061784636
666,0.0031416605
670,0.116165474
671,0.26691616
672,0.010197246
675,0.002489237
676,0.0483738
677,0.029387027
678,0.006828403
680,0.0045408774
683,0.15848058
684,0.027851906
685,0.04137592
691,0.09310323
693,0.0014400958
696,0.0014039242
698,0.0054203714
699,0.018494414
700,0.01430608
703,0.008802659
704,0.023028877
705,0.008114958
707,0.1914864
709,0.06904862
711,0.19192915
713,0.01600561
716,0.0028537672
719,0.0036555594
721,0.007986544
722,0.0050791358
723,0.026456539
724,0.0035338672
727,0.0017770402
